"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
6.4;0.22;0.38;9.1;0.044;35;127;0.99326;2.97;0.3;11;7
5.2;0.31;0.36;5.1;0.031;46;145;0.9897;3.14;0.31;12.4;7
6.8;0.28;0.34;7.5;0.035;34;177;0.99692;3.33;0.43;9.1;5
6.8;0.45;0.36;5;0.033;28;156;0.991;3.11;0.4;12.4;7
6.4;0.21;0.34;16.05;0.04;56;142;0.99678;3.11;0.38;10.6;5
8.2;0.3;0.44;12.4;0.043;52;154;0.99452;3.04;0.33;12;6
7.1;0.14;0.33;1;0.104;20;54;0.99057;3.19;0.64;11.5;6
8.2;0.3;0.44;12.4;0.043;52;154;0.99452;3.04;0.33;12;6
6.6;0.33;0.4;2.65;0.041;35;86;0.98916;3.11;0.39;13.3;7
5.7;0.2;0.3;2.5;0.046;38;125;0.99276;3.34;0.5;9.9;6
6.4;0.23;0.35;4.6;0.039;43;147;0.99216;3.18;0.4;11;7
7.6;0.27;0.29;2.5;0.059;37;115;0.99328;3.09;0.37;9.8;5
5.8;0.3;0.42;1.1;0.036;19;113;0.98871;3.1;0.46;12.6;7
7;0.29;0.35;1.4;0.036;42;109;0.99119;3.31;0.62;11.6;6
6.4;0.25;0.37;4.5;0.039;41;147;0.9921;3.18;0.4;11.1;7
6.4;0.23;0.35;4.6;0.039;43;147;0.99216;3.18;0.4;11;7
7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;6
6.4;0.15;0.29;1.8;0.044;21;115;0.99166;3.1;0.38;10.2;5
6.6;0.23;0.3;4.6;0.06;29;154;0.99142;3.23;0.49;12.2;8
6.6;0.38;0.36;9.2;0.061;42;214;0.9976;3.31;0.56;9.4;5
7.4;0.16;0.32;1.4;0.065;23;140;0.99134;3.06;0.47;11.4;6
6.4;0.15;0.29;1.8;0.044;21;115;0.99166;3.1;0.38;10.2;5
6.8;0.21;0.31;2.9;0.046;40;121;0.9913;3.07;0.65;10.9;7
6.6;0.2;0.14;4.4;0.184;35;168;0.99396;2.93;0.45;9.4;6
6.3;0.24;0.35;2.3;0.039;43;109;0.99056;3.34;0.44;11.8;6
6.6;0.24;0.28;6.7;0.032;26;91;0.99172;3.13;0.32;12.3;6
6.4;0.35;0.28;12.6;0.039;19;124;0.99539;3.2;0.43;10.6;6
7.5;0.29;0.36;15.7;0.05;29;124;0.9968;3.06;0.54;10.4;5
6.8;0.25;0.28;5;0.035;42;126;0.99048;3.12;0.38;12.6;7
6.7;0.23;0.33;8.1;0.048;45;176;0.99472;3.11;0.52;10.1;6
6.9;0.38;0.29;13.65;0.048;52;189;0.99784;3;0.6;9.5;6
7.2;0.27;0.28;15.2;0.046;6;41;0.99665;3.17;0.39;10.9;6
6.4;0.17;0.27;9.9;0.047;26;101;0.99596;3.34;0.5;9.9;6
6.7;0.36;0.28;8.3;0.034;29;81;0.99151;2.96;0.39;12.5;6
6.4;0.17;0.27;9.9;0.047;26;101;0.99596;3.34;0.5;9.9;6
6;0.22;0.28;1.1;0.034;47;90;0.98862;3.22;0.38;12.6;6
7.6;0.2;0.26;4.8;0.033;26;76;0.99076;2.98;0.49;12.3;7
7.6;0.36;0.49;11.3;0.046;87;221;0.9984;3.01;0.43;9.2;5
6.5;0.28;0.34;3.6;0.04;29;121;0.99111;3.28;0.48;12.1;7
6.4;0.22;0.32;4.9;0.046;50;156;0.99316;3.38;0.55;11.2;6
6.8;0.23;0.3;6.95;0.044;42;179;0.9946;3.25;0.56;10.6;6
6.9;0.28;0.3;8.3;0.026;37;113;0.99139;2.99;0.38;12.3;8
6.5;0.25;0.45;7.8;0.048;52;188;0.99576;3.2;0.53;9.1;5
6.8;0.24;0.29;9.5;0.042;56;157;0.99586;3.11;0.51;10.1;6
6.1;0.3;0.3;2.1;0.031;50;163;0.9895;3.39;0.43;12.7;7
7.6;0.28;0.49;20.15;0.06;30;145;1.00196;3.01;0.44;8.5;5
7.1;0.18;0.39;14.5;0.051;48;156;0.99947;3.35;0.78;9.1;5
6.4;0.32;0.27;4.9;0.034;18;122;0.9916;3.36;0.71;12.5;6
7.1;0.18;0.39;15.25;0.047;45;158;0.99946;3.34;0.77;9.1;6
7.8;0.29;0.29;3.15;0.044;41;117;0.99153;3.24;0.35;11.5;5
8.2;0.34;0.29;5.2;0.076;19;92;0.99138;2.95;0.39;12.5;6
6.7;0.4;0.22;8.8;0.052;24;113;0.99576;3.22;0.45;9.4;5
6.8;0.17;0.32;1.4;0.04;35;106;0.99026;3.16;0.66;12;5
6.7;0.3;0.44;18.75;0.057;65;224;0.99956;3.11;0.53;9.1;5
6.7;0.24;0.3;3.85;0.042;105;179;0.99189;3.04;0.59;11.3;8
6.2;0.3;0.31;1.6;0.035;40;106;0.98914;3.26;0.39;12.9;7
6.9;0.29;0.41;7.8;0.046;52;171;0.99537;3.12;0.51;9.6;5
6.8;0.19;0.4;9.85;0.055;41;103;0.99532;2.98;0.56;10.5;6
5.9;0.32;0.28;4.7;0.039;34;94;0.98964;3.22;0.57;13.1;7
6.5;0.3;0.27;4;0.038;37;97;0.99026;3.2;0.6;12.6;8
5.8;0.22;0.3;1.1;0.047;36;131;0.992;3.26;0.45;10.4;5
6.7;0.28;0.31;7.4;0.041;7;81;0.99254;3.04;0.47;11.4;8
6;0.28;0.27;15.5;0.036;31;134;0.99408;3.19;0.44;13;7
6;0.24;0.28;3.95;0.038;61;134;0.99146;3.3;0.54;11.3;7
6.1;0.33;0.3;3;0.036;30;124;0.98922;3.31;0.4;13.1;7
6.7;0.29;0.45;14.3;0.054;30;181;0.99869;3.14;0.57;9.1;5
6.9;0.33;0.62;7.5;0.038;46;132;0.99143;3.23;0.43;13.4;7
7.1;0.35;0.27;3.1;0.034;28;134;0.9897;3.26;0.38;13.1;7
6.6;0.22;0.3;14.7;0.045;50;136;0.99704;3.14;0.37;10.6;6
7.2;0.31;0.35;7.2;0.046;45;178;0.9955;3.14;0.53;9.7;5
7.8;0.28;0.25;3.4;0.024;27;99;0.98959;2.98;0.37;13;6
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6
7.6;0.37;0.34;3.2;0.028;42;162;0.9903;3.01;0.33;12.4;6
6.6;0.64;0.28;4.4;0.032;19;78;0.99036;3.11;0.62;12.9;6
8;0.25;0.27;9.7;0.036;15;85;0.99406;2.99;0.36;11.2;6
7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6
8;0.25;0.27;9.7;0.036;15;85;0.99406;2.99;0.36;11.2;6
6.9;0.26;0.27;4.2;0.031;20;80;0.99089;3.12;0.39;11.5;6
8.1;0.17;0.21;1.6;0.036;24;119;0.99396;3.18;0.52;10.1;6
7.5;0.3;0.21;6.55;0.026;33;143;0.99244;2.92;0.35;11.1;5
7;0.24;0.35;1;0.032;42;104;0.98988;3.16;0.37;11.7;7
6.4;0.28;0.36;1.3;0.053;28;186;0.99211;3.31;0.45;10.8;5
6.6;0.39;0.38;9.7;0.053;49;226;0.99787;3.3;0.57;9.4;6
7.4;0.36;0.23;1.9;0.017;31;69;0.9892;2.93;0.36;12.5;6
6.4;0.38;0.24;7.2;0.047;41;151;0.99604;3.11;0.6;9.2;5
6.8;0.14;0.18;1.4;0.047;30;90;0.99164;3.27;0.54;11.2;6
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6
6.7;0.35;0.48;8.8;0.056;35;167;0.99628;3.04;0.47;9.4;5
6.3;0.2;0.26;4.7;0.04;108;168;0.99278;3.07;0.75;10.7;7
7.6;0.31;0.27;8.8;0.021;57;156;0.99442;3.08;0.38;11;7
6.5;0.26;0.39;1.4;0.02;12;66;0.99089;3.25;0.75;11.3;7
7.2;0.33;0.22;4.5;0.031;10;73;0.99076;2.97;0.52;12.2;7
7.3;0.31;0.25;6.65;0.032;30;138;0.99244;2.9;0.37;11.1;5
7.1;0.28;0.28;8.5;0.03;25;191;0.99338;3.16;0.46;12.2;7
5.8;0.32;0.28;4.3;0.032;46;115;0.98946;3.16;0.57;13;8
6.5;0.27;0.26;11;0.03;2;82;0.99402;3.07;0.36;11.2;5
5.9;0.37;0.32;1.6;0.029;41;102;0.98916;3.41;0.55;12.7;7
6.2;0.21;0.18;11.6;0.044;61;155;0.99655;3.14;0.52;9.4;6
6.9;0.58;0.58;8.2;0.032;29;169;0.99275;3.28;0.44;12.2;6
7.2;0.23;0.25;18.8;0.085;19;111;1.00044;3.1;0.51;8.7;5
6.8;0.15;0.41;12.9;0.044;79.5;183;0.99742;3.24;0.78;10.2;6
7.6;0.3;0.37;1.6;0.087;27;177;0.99438;3.09;0.5;9.8;5
7.2;0.23;0.25;18.8;0.085;19;111;1.00044;3.1;0.51;8.7;5
7;0.3;0.27;1.5;0.076;24;145;0.99344;3.1;0.52;10.1;5
7.5;0.24;0.31;13.1;0.05;26;180;0.99884;3.05;0.53;9.1;6
7.7;0.35;0.46;11.8;0.088;61;183;0.99786;2.86;0.47;9;5
6.7;0.31;0.09;1.4;0.039;53;141;0.99206;3.12;0.44;10.1;5
6.3;0.2;0.18;10.6;0.045;57;159;0.99666;3.09;0.54;9.2;5
6.6;0.3;0.45;8;0.038;54;200;0.9956;3.18;0.48;9.5;5
6.6;0.26;0.28;9.4;0.028;13;121;0.99254;3.17;0.34;12.1;6
7;0.34;0.26;10.3;0.041;51;166;0.99382;3.08;0.35;11.6;6
6;0.21;0.29;13.1;0.042;28;125;0.99936;3.39;0.45;8.6;5
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7
6.8;0.22;0.3;10.6;0.07;67;194;0.99654;2.89;0.42;9;6
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7
5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;8
5;0.61;0.12;1.3;0.009;65;100;0.9874;3.26;0.37;13.5;5
6.7;0.42;0.39;12.1;0.04;61;248;0.99794;3.31;0.58;9.7;5
6.4;0.27;0.45;8.3;0.05;52;196;0.9955;3.18;0.48;9.5;5
7.4;0.29;0.48;12.8;0.037;61.5;182;0.99808;3.02;0.34;8.8;5
6.5;0.26;0.5;8;0.051;46;197;0.99536;3.18;0.47;9.5;5
6.3;0.32;0.26;12;0.049;63;170;0.9961;3.14;0.55;9.9;6
6.5;0.25;0.27;17.4;0.064;29;140;0.99776;3.2;0.49;10.1;6
7.9;0.21;0.39;2;0.057;21;138;0.99176;3.05;0.52;10.9;5
7;0.39;0.21;10.7;0.098;13;91;0.99657;3.03;0.47;9.3;5
6.3;0.43;0.32;8.8;0.042;18;106;0.99172;3.28;0.33;12.9;7
6.8;0.41;0.3;8.8;0.045;28;131;0.9953;3.12;0.59;9.9;5
5.1;0.35;0.26;6.8;0.034;36;120;0.99188;3.38;0.4;11.5;6
7;0.33;0.28;5.7;0.033;39;204;0.99176;3.17;0.64;12.5;6
7.3;0.24;0.3;2.5;0.042;31;104;0.9911;3.05;0.56;11.3;7
5.1;0.23;0.18;1;0.053;13;99;0.98956;3.22;0.39;11.5;5
7.1;0.44;0.23;5.8;0.035;24;100;0.99062;3.15;0.57;13.2;7
6.8;0.31;0.19;3.5;0.086;30;130;0.993;2.83;0.44;9.6;5
6.5;0.41;0.22;4.8;0.052;49;142;0.9946;3.14;0.62;9.2;5
6.7;0.37;0.25;2.5;0.028;24;84;0.9909;3.14;0.36;11.7;6
6.6;0.21;0.5;8.7;0.036;41;191;0.99294;2.96;0.56;11;6
6.6;0.32;0.26;4.6;0.031;26;120;0.99198;3.4;0.73;12.5;7
6.7;0.26;0.51;8;0.062;50;194;0.99545;3.13;0.5;9.6;5
6.1;0.22;0.28;16.55;0.059;54;135;0.99665;3.2;0.38;10.5;5
6;0.28;0.24;17.8;0.047;42;111;0.99896;3.1;0.45;8.9;6
7;0.24;0.3;12.3;0.035;72;172;0.9954;2.99;0.57;10.4;6
6.5;0.33;0.3;3.8;0.036;34;88;0.99028;3.25;0.63;12.5;7
6.2;0.39;0.24;4.8;0.037;45;138;0.99174;3.23;0.43;11.2;7
7.2;0.25;0.32;1.5;0.054;24;105;0.99154;3.17;0.48;11.1;6
4.7;0.455;0.18;1.9;0.036;33;106;0.98746;3.21;0.83;14;7
7.1;0.37;0.3;6.2;0.04;49;139;0.99021;3.17;0.27;13.6;6
6.2;0.28;0.51;7.9;0.056;49;206;0.9956;3.18;0.52;9.4;5
6.6;0.31;0.28;1.4;0.035;28;107;0.98836;3;0.4;13.2;6
7.3;0.27;0.3;1.3;0.04;26;84;0.99222;3.28;0.53;10.7;6
8.2;0.18;0.38;1.1;0.04;41;92;0.99062;2.88;0.6;12;6
6.9;0.4;0.37;8.9;0.053;36;148;0.996;3.16;0.5;9.3;5
7.2;0.23;0.39;1.5;0.053;26;106;0.99166;3.18;0.47;11.1;6
6.4;0.2;0.15;6.6;0.046;26;113;0.99408;2.99;0.58;9.9;6
4.9;0.345;0.34;1;0.068;32;143;0.99138;3.24;0.4;10.1;5
7;0.16;0.3;2.6;0.043;34;90;0.99047;2.88;0.47;11.2;6
7.5;0.35;0.48;12.4;0.056;61;176.5;0.99803;2.97;0.52;8.8;5
6.4;0.17;0.3;2.8;0.034;33;125;0.99152;3.03;0.49;10.4;6
6.3;0.27;0.51;7.6;0.049;35;200;0.99548;3.16;0.54;9.4;4
6.1;0.24;0.26;1.7;0.033;61;134;0.9903;3.19;0.81;11.9;7
6.3;0.22;0.27;4.5;0.036;81;157;0.9928;3.05;0.76;10.7;7
5.6;0.23;0.25;8;0.043;31;101;0.99429;3.19;0.42;10.4;6
6.8;0.11;0.27;8.6;0.044;45;104;0.99454;3.2;0.37;9.9;6
6.8;0.11;0.27;8.6;0.044;45;104;0.99454;3.2;0.37;9.9;6
7.3;0.23;0.41;14.6;0.048;73;223;0.99863;3.16;0.71;9.4;6
6.9;0.2;0.41;1.1;0.06;36;104;0.99317;2.99;0.39;9.2;5
6.7;0.28;0.34;8.9;0.048;32;111;0.99455;3.25;0.54;11;7
6.4;0.24;0.49;5.8;0.053;25;120;0.9942;3.01;0.98;10.5;6
6.8;0.22;0.32;5.9;0.054;40;152;0.9938;3.2;0.57;10.8;6
6;0.26;0.29;3.1;0.041;37;144;0.98944;3.22;0.39;12.8;7
7.2;0.4;0.24;8.5;0.055;45;151;0.99626;3.2;0.52;9.2;5
7.6;0.19;0.37;13.1;0.033;52;151;0.99726;3.18;0.79;10.4;6
6.1;0.28;0.3;7.75;0.031;33;139;0.99296;3.22;0.46;11;6
6.4;0.29;0.57;1;0.06;15;120;0.9924;3.06;0.41;9.5;5
6.8;0.27;0.22;17.8;0.034;16;116;0.9989;3.07;0.53;9.2;5
7.3;0.33;0.22;1.4;0.041;40;177;0.99287;3.14;0.48;9.9;5
7.3;0.34;0.22;1.4;0.044;43;176;0.99286;3.14;0.46;9.9;5
6.3;0.24;0.29;1.6;0.052;48;185;0.9934;3.21;0.5;9.4;5
6.2;0.24;0.22;7.9;0.053;45;149;0.99545;3.23;0.52;9.3;5
7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
6.8;0.3;0.27;11.6;0.028;22;97;0.99314;2.96;0.38;11.7;6
7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
6.8;0.3;0.27;11.6;0.028;22;97;0.99314;2.96;0.38;11.7;6
6.9;0.19;0.35;13.5;0.038;49;118;0.99546;3;0.63;10.7;6
6.2;0.24;0.28;12.2;0.049;54;133;0.9952;3.19;0.37;10.7;6
5.7;0.25;0.21;1.5;0.044;21;108;0.99142;3.3;0.59;11;6
5.7;0.25;0.27;10.8;0.05;58;116;0.99592;3.1;0.5;9.8;6
6.2;0.3;0.32;1.2;0.052;32;185;0.99266;3.28;0.44;10.1;5
6.5;0.33;0.24;14.5;0.048;20;96;0.99456;3.06;0.3;11.5;8
6.5;0.21;0.42;1.1;0.059;33;101;0.9927;3.12;0.38;9.7;6
6.4;0.5;0.2;2.4;0.059;19;112;0.99314;3.18;0.4;9.2;6
6.6;0.21;0.34;5.6;0.046;30;140;0.99299;3.22;0.38;11;5
6.9;0.45;0.27;4.7;0.035;17;80;0.99058;3.12;0.36;12.5;7
6.5;0.43;0.31;3.6;0.046;19;143;0.99022;3.15;0.34;12;8
6.3;0.23;0.22;17.45;0.054;42;151;0.99853;3.12;0.6;9.3;6
6.3;0.17;0.23;5.7;0.048;44;147;0.99382;3.08;0.54;10;5
6.8;0.27;0.28;7.8;0.038;26;89;0.9915;3.24;0.34;12.5;6
5.9;0.27;0.27;9;0.051;43;136;0.9941;3.25;0.53;10.7;6
6.8;0.28;0.29;11.9;0.052;51;149;0.99544;3.02;0.58;10.4;6
6.2;0.2;0.25;15;0.055;8;120;0.99767;3.19;0.53;9.6;6
5.8;0.24;0.28;1.4;0.038;40;76;0.98711;3.1;0.29;13.9;7
7.6;0.48;0.31;9.4;0.046;6;194;0.99714;3.07;0.61;9.4;5
6.2;0.32;0.5;6.5;0.048;61;186;0.9948;3.19;0.45;9.6;5
7.4;0.16;0.3;13.7;0.056;33;168;0.99825;2.9;0.44;8.7;7
7.4;0.16;0.3;13.7;0.056;33;168;0.99825;2.9;0.44;8.7;7
6.6;0.22;0.35;1.4;0.05;23;83;0.99019;3.17;0.48;12;7
7.4;0.16;0.3;13.7;0.056;33;168;0.99825;2.9;0.44;8.7;7
6.8;0.24;0.33;3.2;0.049;68;161;0.99324;3.1;0.69;10.2;6
6.4;0.25;0.33;1.7;0.037;35;113;0.99164;3.23;0.66;10.6;6
6.9;0.24;0.4;15.4;0.052;81;198;0.9986;3.2;0.69;9.4;5
6.6;0.25;0.32;5.6;0.039;15;68;0.99163;2.96;0.52;11.1;6
7.5;0.38;0.56;9.7;0.055;15;170;0.99605;3.13;0.65;9.9;6
5.3;0.33;0.3;1.2;0.048;25;119;0.99045;3.32;0.62;11.3;6
8.1;0.27;0.33;1.3;0.045;26;100;0.99066;2.98;0.44;12.4;6
7;0.44;0.24;12.1;0.056;68;210;0.99718;3.05;0.5;9.5;5
7;0.44;0.24;12.1;0.056;68;210;0.99718;3.05;0.5;9.5;5
7;0.44;0.24;12.1;0.056;68;210;0.99718;3.05;0.5;9.5;5
6.1;0.38;0.14;3.9;0.06;27;113;0.99344;3.07;0.34;9.2;4
7;0.44;0.24;12.1;0.056;68;210;0.99718;3.05;0.5;9.5;5
6.3;0.28;0.34;8.1;0.038;44;129;0.99248;3.26;0.29;12.1;6
6.1;0.38;0.14;3.9;0.06;27;113;0.99344;3.07;0.34;9.2;4
5.3;0.43;0.11;1.1;0.029;6;51;0.99076;3.51;0.48;11.2;4
6.2;0.345;0.27;10.1;0.056;38;187;0.99486;3.31;0.56;10.6;5
5.2;0.2;0.27;3.2;0.047;16;93;0.99235;3.44;0.53;10.1;7
6.3;0.23;0.33;6.9;0.052;23;118;0.9938;3.23;0.46;10.4;6
6.4;0.29;0.18;15;0.04;21;116;0.99736;3.14;0.5;9.2;5
6.4;0.29;0.18;15;0.04;21;116;0.99736;3.14;0.5;9.2;5
6.4;0.29;0.18;15;0.04;21;116;0.99736;3.14;0.5;9.2;5
6.8;0.26;0.26;2;0.019;23.5;72;0.99041;3.16;0.47;11.8;6
6.6;0.36;0.47;1.4;0.145;26;124;0.99274;3.09;0.56;10.1;6
6;0.33;0.26;5.1;0.051;16;119;0.99416;3.15;0.41;9.2;5
6.9;0.52;0.54;7.9;0.036;23;169;0.99267;3.26;0.47;12.2;6
6.2;0.36;0.22;5.25;0.038;44;145;0.99184;3.22;0.4;11.2;6
6.6;0.21;0.3;9.9;0.041;64;174;0.995;3.07;0.5;10.1;6
5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
6.2;0.24;0.27;16.8;0.04;48;129;0.99691;3.23;0.38;10.5;6
5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
7.6;0.28;0.17;1.6;0.046;28;117;0.99288;3.08;0.43;10;5
5.7;0.26;0.24;17.8;0.059;23;124;0.99773;3.3;0.5;10.1;5
7.2;0.21;0.36;15.7;0.045;68;183;0.99922;3.25;0.76;9.4;5
6.4;0.29;0.3;6.5;0.209;62;156;0.99478;3.1;0.4;9.4;5
7.2;0.34;0.23;8.9;0.105;22;155;0.99692;3.01;0.58;9.5;5
6.6;0.34;0.25;4.8;0.038;16;121;0.99198;3.36;0.71;12.6;6
6.7;0.41;0.24;5.4;0.035;33;115;0.9901;3.12;0.44;12.8933333333333;7
6.3;0.28;0.22;11.5;0.036;27;150;0.99445;3;0.33;10.6;6
7.4;0.38;0.34;8.3;0.052;44;168;0.99627;3.11;0.52;9.2;5
6.4;0.24;0.26;8.2;0.054;47;182;0.99538;3.12;0.5;9.5;5
6.4;0.24;0.26;8.2;0.054;47;182;0.99538;3.12;0.5;9.5;5
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8;8
7.6;0.31;0.52;13.2;0.042;61;148;0.99839;2.98;0.47;9.1;6
6.4;0.31;0.28;2.5;0.039;34;137;0.98946;3.22;0.38;12.7;6
7.3;0.28;0.35;1.6;0.054;31;148;0.99178;3.18;0.47;10.7;5
6.4;0.31;0.27;7.4;0.049;48;169;0.99323;3.27;0.45;11.1;6
6.3;0.19;0.33;10.1;0.063;63;133;0.99561;2.86;0.41;9.1;5
6.5;0.22;0.19;4.5;0.096;16;115;0.9937;3.02;0.44;9.6;5
6;0.32;0.32;4.8;0.041;40;186;0.99235;3.22;0.54;11;6
6.1;0.34;0.21;5;0.042;17;133;0.99373;3.02;0.53;9.4;5
6.5;0.13;0.27;2.6;0.035;32;76;0.9914;3.21;0.76;11.3333333333333;6
6.4;0.3;0.27;5;0.058;27;151;0.99198;3.22;0.49;12.2;6
7.1;0.38;0.29;13.6;0.041;30;137;0.99461;3.02;0.96;12.1;6
6.5;0.29;0.3;9.15;0.051;25;166;0.99339;3.24;0.56;11.35;6
6.6;0.27;0.25;1.2;0.033;36;111;0.98918;3.16;0.37;12.4;6
6.7;0.34;0.31;16.4;0.051;20;146;0.99834;3.06;0.54;9.1;5
5;0.35;0.25;7.8;0.031;24;116;0.99241;3.39;0.4;11.3;6
4.4;0.46;0.1;2.8;0.024;31;111;0.98816;3.48;0.34;13.1;6
6.4;0.28;0.22;12.8;0.039;51;150;0.99535;3.23;0.43;10.7;6
6.3;0.3;0.19;7.7;0.049;47;184;0.99514;3.22;0.48;9.5;5
6.3;0.39;0.22;2.8;0.048;53;173;0.99304;3.24;0.45;9.8;5
6;0.28;0.29;19.3;0.051;36;174;0.99911;3.14;0.5;9;5
7.7;0.28;0.24;2.4;0.044;29;157;0.99312;3.27;0.56;10.6;6
6.6;0.26;0.56;15.4;0.053;32;141;0.9981;3.11;0.49;9.3;5
7;0.28;0.28;1.4;0.039;12;83;0.99173;3.18;0.65;11.1;5
5.7;0.25;0.22;9.8;0.049;50;125;0.99571;3.2;0.45;10.1;6
5.9;0.22;0.45;22.6;0.12;55;122;0.99636;3.1;0.35;12.8;5
6.4;0.32;0.26;7.9;0.05;53;180;0.99514;3.14;0.5;9.6;5
7.8;0.27;0.33;2.4;0.053;36;175;0.992;3.2;0.55;11;6
9;0.2;0.33;3.5;0.049;10;40;0.9944;3.14;0.36;9.8;6
5.8;0.31;0.31;7.5;0.052;55;230;0.9949;3.19;0.46;9.8;5
6.7;0.18;0.25;14.3;0.048;79;149;0.9975;3.12;0.37;9.7;5
5.8;0.27;0.22;12.7;0.058;42;206;0.9946;3.32;0.38;12.3;6
7.3;0.28;0.54;12.9;0.049;62;162.5;0.9984;3.06;0.45;9.1;6
6.1;0.25;0.18;10.5;0.049;41;124;0.9963;3.14;0.35;10.5;5
6;0.23;0.34;1.3;0.025;23;111;0.98961;3.36;0.37;12.7;6
6.9;0.28;0.37;9.1;0.037;16;76;0.9948;3.05;0.54;11.1;5
6.3;0.25;0.53;1.8;0.021;41;101;0.989315;3.19;0.31;13;6
6.5;0.2;0.31;2.1;0.033;32;95;0.989435;2.96;0.61;12;6
6.1;0.37;0.46;12;0.042;61;210;0.997;3.17;0.59;9.7;6
5.6;0.26;0.27;10.6;0.03;27;119;0.9947;3.4;0.34;10.7;7
6.4;0.3;0.27;4.4;0.055;17;135;0.9925;3.23;0.44;12.2;6
5.9;0.3;0.29;1.1;0.036;23;56;0.9904;3.19;0.38;11.3;5
6.4;0.23;0.37;7.9;0.05;60;150;0.99488;2.86;0.49;9.3;6
5.9;0.34;0.25;2;0.042;12;110;0.99034;3.02;0.54;11.4;6
6.4;0.33;0.3;7.2;0.041;42;168;0.99331;3.22;0.49;11.1;6
6.5;0.36;0.31;13.55;0.053;20;113;0.99544;3.2;0.56;11;6
5;0.33;0.18;4.6;0.032;40;124;0.99114;3.18;0.4;11;6
6.1;0.19;0.37;2.6;0.041;24;99;0.99153;3.18;0.5;10.9;6
6.1;0.19;0.37;2.6;0.041;24;99;0.99153;3.18;0.5;10.9;6
5.6;0.24;0.34;2;0.041;14;73;0.98981;3.04;0.45;11.6;7
5.7;0.25;0.32;12.2;0.041;43;127;0.99524;3.23;0.53;10.4;7
5.8;0.26;0.29;1;0.042;35;101;0.99044;3.36;0.48;11.4;7
6;0.29;0.41;10.8;0.048;55;149;0.9937;3.09;0.59;10.9666666666667;7
6;0.17;0.33;6;0.036;30;111;0.99362;3.32;0.58;10.15;7
5.9;0.44;0.33;1.2;0.049;12;117;0.99134;3.46;0.44;11.5;5
6.6;0.285;0.49;11.4;0.035;57;137;0.99732;3.08;0.54;8.9;6
4.9;0.335;0.14;1.3;0.036;69;168;0.99212;3.47;0.46;10.4666666666667;5
6.5;0.25;0.32;9.9;0.045;41;128;0.99636;3.18;0.52;9.6;6
4.7;0.335;0.14;1.3;0.036;69;168;0.99212;3.47;0.46;10.5;5
6.8;0.63;0.04;1.3;0.058;25;133;0.99271;3.17;0.39;10.2;4
6.8;0.32;0.33;0.7;0.027;15;66;0.9899;3.11;0.31;11.8;6
6.8;0.63;0.04;1.3;0.058;25;133;0.99271;3.17;0.39;10.2;4
6.7;0.16;0.32;12.5;0.035;18;156;0.99666;2.88;0.36;9;6
6;0.36;0.32;1.1;0.053;26;173;0.99414;3.38;0.54;8.8;5
6.9;0.19;0.31;19.25;0.043;38;167;0.99954;2.93;0.52;9.1;7
6.4;0.69;0.09;7.6;0.044;34;144;0.9948;3.26;0.38;10.1;6
7.2;0.33;0.28;1.4;0.034;26;109;0.99246;3.28;0.57;10.6;6
6.1;0.22;0.4;1.85;0.031;25;111;0.98966;3.03;0.3;11.8;7
5.3;0.31;0.38;10.5;0.031;53;140;0.99321;3.34;0.46;11.7;6
5.5;0.16;0.31;1.2;0.026;31;68;0.9898;3.33;0.44;11.6333333333333;6
6;0.17;0.36;1.7;0.042;14;61;0.99144;3.22;0.54;10.8;6
5.6;0.26;0.5;11.4;0.029;25;93;0.99428;3.23;0.49;10.5;6
6.1;0.34;0.24;18.35;0.05;33;184;0.99943;3.12;0.61;9.3;5
6;0.14;0.37;1.2;0.032;63;148;0.99185;3.32;0.44;11.2;5
